,loss,bound_loss,residual_loss,u_loss,v_loss
313,1.0894265,0.7770299,0.31239653,0.77610004,0.0009298405
314,1.0668429,0.75068665,0.31615633,0.7496637,0.0010229715
315,1.0727257,0.75818217,0.3145435,0.7571992,0.0009829125
316,1.0504323,0.7454298,0.30500248,0.74441427,0.001015475
317,1.0546092,0.7472215,0.30738768,0.7462527,0.00096873613
318,1.0397346,0.7382032,0.30153137,0.73732007,0.0008830672
319,1.0495083,0.74958694,0.29992118,0.748539,0.001048031
320,1.0180165,0.71979207,0.2982244,0.71876824,0.001023818
321,1.0436076,0.7502698,0.29333782,0.7493855,0.0008843647
322,1.0099361,0.7192233,0.2907129,0.71794003,0.0012832795
323,1.0271845,0.73632115,0.29086334,0.7352781,0.0010430813
324,0.9980465,0.7140616,0.28398484,0.71265066,0.0014109949
325,1.0144039,0.7266306,0.28777328,0.72547495,0.0011557132
326,0.98422754,0.70357466,0.2806529,0.70218503,0.0013896168
327,1.0045063,0.72035295,0.28415337,0.7191058,0.0012472229
328,0.97221535,0.6943482,0.27786708,0.69311684,0.0012313881
329,1.0193431,0.73432213,0.28502113,0.7323322,0.001989825
330,0.979784,0.69306403,0.28671995,0.69117504,0.0018890437
331,1.0048212,0.72972393,0.27509734,0.72833574,0.0013881538
332,0.979636,0.69954693,0.28008908,0.6982674,0.0012795272
333,1.0014956,0.73502916,0.2664664,0.7339617,0.0010675143
334,0.93504953,0.66323566,0.27181393,0.6614293,0.0018063482
335,0.96788216,0.68828183,0.27960038,0.6866785,0.0016033209
336,0.9470107,0.6912446,0.25576603,0.6894223,0.0018223444
337,0.94845706,0.67172754,0.27672946,0.67060626,0.0011213508
338,0.949656,0.68268734,0.26696867,0.6808247,0.0018626321
339,0.95115054,0.6797348,0.27141562,0.6776711,0.002063766
340,0.9490646,0.69719696,0.25186777,0.695539,0.0016579248
341,0.9206196,0.6551169,0.26550254,0.6540955,0.0010214781
342,0.91255426,0.63918954,0.2733648,0.63810205,0.0010874586
343,0.94246256,0.6737524,0.2687101,0.67249703,0.0012554359
344,0.9078978,0.65566593,0.25223178,0.65486205,0.0008038818
345,0.90228397,0.65141106,0.2508729,0.6505913,0.00081969256
346,0.910952,0.6490466,0.2619053,0.6480665,0.0009801295
347,0.9031639,0.65232646,0.25083742,0.6512426,0.0010838546
348,0.88598937,0.6406924,0.245297,0.6398629,0.00082948897
349,0.8820206,0.6363903,0.24563012,0.6355662,0.00082421413
350,0.8751834,0.6233411,0.2518422,0.6223839,0.0009572379
351,0.895456,0.6446489,0.25080714,0.64339143,0.0012574329
352,0.90623015,0.65837395,0.24785623,0.65697783,0.0013960858
353,0.8808309,0.6436121,0.23721881,0.6425904,0.001021729
354,0.8535377,0.61343586,0.24010181,0.61254835,0.0008875102
355,0.8478011,0.59864044,0.24916072,0.59761673,0.0010236979
356,0.86443585,0.6142297,0.25020617,0.61301565,0.0012140229
357,0.89502525,0.6432103,0.25181493,0.6417551,0.0014551855
358,0.88631403,0.648173,0.23814099,0.6467684,0.0014046449
359,0.84520686,0.6069776,0.23822923,0.605762,0.0012156011
360,0.83576953,0.5910858,0.24468383,0.58977157,0.0013141446
361,0.8362442,0.5872077,0.24903658,0.5861985,0.0010091483
362,0.87284726,0.6188742,0.2539732,0.61748207,0.001392117
363,0.8616471,0.62563384,0.23601334,0.62396115,0.001672609
364,0.84555423,0.60443753,0.24111672,0.6027102,0.0017273141
365,0.8305377,0.59076035,0.23977736,0.5896436,0.001116771
366,0.82939625,0.58111703,0.24827921,0.5800499,0.0010671334
367,0.825812,0.5863524,0.23945954,0.58512115,0.0012312342
368,0.8251916,0.5892537,0.23593786,0.58717823,0.0020755092
369,0.82434905,0.5942111,0.23013785,0.5930204,0.0011907266
370,0.8070134,0.5781633,0.22885004,0.5769311,0.0012322337
371,0.7922743,0.5473851,0.24488914,0.5463104,0.0010747284
372,0.8378787,0.6065684,0.23131032,0.60446584,0.002102632
373,0.8061533,0.5761969,0.22995634,0.5744914,0.0017055331
374,0.8149667,0.5882616,0.22670503,0.5865654,0.0016962264
375,0.8075279,0.5617203,0.24580765,0.56050456,0.0012157541
376,0.81922024,0.5869287,0.23229155,0.58548844,0.0014402366
377,0.8041817,0.57673967,0.22744207,0.5759288,0.00081082026
378,0.7752008,0.53881484,0.23638591,0.53775704,0.0010578375
379,0.7964632,0.5598466,0.23661657,0.5589552,0.0008914766
380,0.7921998,0.56098527,0.23121452,0.559528,0.0014572607
381,0.7842225,0.56336,0.22086254,0.5621058,0.0012541724
382,0.7789484,0.5507329,0.2282155,0.5488647,0.0018681554
383,0.7807802,0.5477308,0.2330494,0.5461475,0.0015832398
384,0.78410995,0.5590783,0.2250317,0.55704856,0.0020296974
385,0.791458,0.56309104,0.22836697,0.5620303,0.0010606892
386,0.7641678,0.5300515,0.23411627,0.5288817,0.0011697938
387,0.781821,0.55031693,0.23150411,0.549205,0.0011119468
388,0.7597488,0.53051746,0.2292314,0.529189,0.0013284611
389,0.7729766,0.5415437,0.23143287,0.53990763,0.0016360928
390,0.78311265,0.54049075,0.24262185,0.53811544,0.0023752407
391,0.7923416,0.5538372,0.23850445,0.5516411,0.0021960828
392,0.7778919,0.54926187,0.22862999,0.54733914,0.0019227013
393,0.7900283,0.5598326,0.23019572,0.55772555,0.002107088
394,0.7825767,0.5459702,0.23660648,0.5428089,0.0031612522
395,0.7970903,0.56694925,0.23014104,0.5649184,0.0020309475
396,0.7759543,0.5542561,0.22169816,0.55240077,0.0018552575
397,0.778005,0.55793154,0.22007346,0.5565961,0.0013354091
398,0.76005375,0.53524023,0.22481355,0.5340518,0.001188433
399,0.7542197,0.53290373,0.22131595,0.5318513,0.0010524278
