,loss,bound_loss,init_loss
287,0.013746172,0.008193795,0.005552376
288,0.013720212,0.008185311,0.0055349004
289,0.013694259,0.008176742,0.0055175177
290,0.013668287,0.008168084,0.0055002035
291,0.013642256,0.008159325,0.005482931
292,0.013616172,0.008150484,0.0054656877
293,0.013589979,0.008141541,0.0054484387
294,0.013563663,0.008132496,0.005431166
295,0.013537205,0.008123354,0.0054138503
296,0.013510578,0.008114109,0.0053964704
297,0.013483766,0.008104757,0.0053790086
298,0.013456753,0.0080953,0.005361454
299,0.013429542,0.008085742,0.0053438004
300,0.013402134,0.008076086,0.0053260494
301,0.013374534,0.008066333,0.005308201
302,0.013346736,0.00805648,0.0052902563
303,0.013318766,0.008046537,0.0052722306
304,0.0132906595,0.008036516,0.0052541452
305,0.013262422,0.008026414,0.0052360077
306,0.013234076,0.008016237,0.005217839
307,0.013205637,0.008005989,0.00519965
308,0.013177139,0.007995681,0.005181459
309,0.013148594,0.007985318,0.005163276
310,0.01312,0.007974897,0.0051451027
311,0.013091364,0.007964426,0.0051269378
312,0.013062682,0.007953905,0.005108776
313,0.013033935,0.007943329,0.0050906073
314,0.013005118,0.0079327,0.005072417
315,0.0129762115,0.007922019,0.005054193
316,0.012947214,0.007911288,0.005035926
317,0.012918092,0.007900499,0.005017593
318,0.012888842,0.007889658,0.004999185
319,0.012859437,0.007878753,0.0049806833
320,0.012829867,0.007867787,0.004962081
321,0.012800143,0.007856769,0.0049433745
322,0.012770246,0.007845693,0.004924552
323,0.012740177,0.007834566,0.0049056127
324,0.012709933,0.007823389,0.004886545
325,0.012679491,0.007812152,0.004867338
326,0.012648843,0.007800858,0.004847985
327,0.012618019,0.007789526,0.0048284936
328,0.0125870155,0.007778158,0.004808859
329,0.012555818,0.0077667483,0.0047890693
330,0.012524416,0.0077553005,0.004769117
331,0.012492838,0.0077438266,0.004749012
332,0.012461084,0.007732337,0.004728748
333,0.012429141,0.0077208243,0.004708318
334,0.012397016,0.0077092946,0.0046877223
335,0.012364723,0.0076977606,0.0046669627
336,0.012332254,0.0076862206,0.004646035
337,0.012299637,0.0076746927,0.0046249437
338,0.012266874,0.0076631806,0.0046036937
339,0.012233979,0.007651694,0.0045822845
340,0.012200937,0.007640227,0.0045607095
341,0.012167766,0.0076287915,0.004538974
342,0.01213448,0.007617396,0.0045170845
343,0.012101094,0.00760605,0.004495045
344,0.012067645,0.007594773,0.0044728713
345,0.01203413,0.0075835646,0.0044505647
346,0.01200056,0.0075724325,0.004428128
347,0.0119669475,0.0075613796,0.0044055674
348,0.011933319,0.0075504226,0.004382897
349,0.011899692,0.0075395666,0.004360126
350,0.011866074,0.0075288154,0.004337259
351,0.011832483,0.0075181755,0.0043143085
352,0.011798958,0.0075076628,0.0042912955
353,0.01176552,0.0074972883,0.0042682313
354,0.011732169,0.007487048,0.004245122
355,0.011698935,0.0074769496,0.0042219856
356,0.011665841,0.007467001,0.004198839
357,0.011632893,0.007457202,0.0041756905
358,0.011600129,0.0074475636,0.0041525643
359,0.011567566,0.007438091,0.004129476
360,0.011535228,0.0074287844,0.004106444
361,0.0115031265,0.0074196476,0.004083479
362,0.011471282,0.007410679,0.004060602
363,0.011439715,0.007401882,0.004037832
364,0.011408441,0.007393257,0.0040151835
365,0.011377475,0.0073848017,0.0039926735
366,0.011346827,0.0073765106,0.003970316
367,0.011316505,0.0073683797,0.0039481255
368,0.011286532,0.0073604085,0.003926123
369,0.011256918,0.0073525966,0.0039043224
370,0.011227689,0.007344941,0.0038827464
371,0.011198852,0.0073374435,0.003861407
372,0.011170405,0.00733009,0.0038403145
373,0.011142352,0.0073228716,0.0038194812
374,0.011114705,0.007315788,0.0037989176
375,0.01108748,0.0073088356,0.003778643
376,0.0110606635,0.0073020034,0.0037586603
377,0.011034294,0.007295301,0.0037389935
378,0.011008367,0.007288719,0.0037196472
379,0.010982874,0.0072822496,0.0037006254
380,0.010957831,0.00727589,0.0036819407
381,0.0109332455,0.007269642,0.0036636032
382,0.010909104,0.007263493,0.003645611
383,0.0108854165,0.007257445,0.0036279708
384,0.01086219,0.007251496,0.0036106936
385,0.010839439,0.007245654,0.003593785
386,0.010817156,0.0072399112,0.0035772447
387,0.010795347,0.007234268,0.0035610788
388,0.010774016,0.0072287284,0.003545288
389,0.010753144,0.007223278,0.0035298653
390,0.010732734,0.007217923,0.0035148116
391,0.010712807,0.007212671,0.0035001358
392,0.010693348,0.007207516,0.0034858314
393,0.01067436,0.0072024628,0.003471898
394,0.01065584,0.007197508,0.003458333
395,0.010637785,0.007192653,0.003445132
396,0.0106201805,0.0071878918,0.003432288
397,0.0106030265,0.0071832296,0.0034197972
398,0.010586313,0.00717866,0.0034076525
399,0.010570034,0.007174183,0.0033958508
400,0.010554173,0.007169793,0.0033843804
401,0.010538731,0.0071654934,0.003373238
402,0.0105236955,0.0071612783,0.0033624175
403,0.010509063,0.007157153,0.0033519093
404,0.010494817,0.0071531087,0.0033417074
405,0.010480938,0.007149139,0.003331799
406,0.010467422,0.007145245,0.0033221773
407,0.010454241,0.007141415,0.003312826
408,0.010441381,0.007137643,0.0033037367
409,0.010428839,0.0071339346,0.0032949063
410,0.010416604,0.0071302806,0.0032863223
411,0.010404662,0.0071266834,0.003277978
412,0.010392982,0.0071231253,0.0032698568
413,0.010381571,0.007119614,0.0032619555
414,0.010370411,0.007116144,0.0032542662
415,0.010359501,0.0071127177,0.0032467823
416,0.010348828,0.0071093305,0.0032394978
417,0.010338369,0.007105974,0.003232396
418,0.010328125,0.007102651,0.0032254749
419,0.0103180865,0.007099358,0.0032187284
420,0.010308236,0.007096088,0.0032121474
421,0.010298578,0.0070928517,0.0032057276
422,0.010289096,0.007089637,0.0031994598
423,0.010279776,0.0070864405,0.0031933356
424,0.010270626,0.0070832693,0.0031873565
425,0.0102616325,0.0070801205,0.0031815122
426,0.01025278,0.0070769857,0.0031757944
427,0.010244077,0.007073874,0.0031702032
428,0.010235517,0.0070707817,0.0031647359
429,0.010227081,0.007067703,0.003159378
430,0.01021878,0.0070646442,0.0031541341
431,0.0102105895,0.007061597,0.0031489932
432,0.010202527,0.0070585697,0.003143958
433,0.010194573,0.007055555,0.003139018
434,0.010186722,0.0070525534,0.003134169
435,0.010178972,0.0070495624,0.0031294099
436,0.010171334,0.007046593,0.0031247407
437,0.010163788,0.0070436355,0.0031201523
438,0.010156322,0.0070406813,0.0031156403
439,0.010148943,0.007037742,0.003111201
440,0.010141656,0.0070348177,0.0031068383
441,0.010134461,0.0070319097,0.0031025514
442,0.010127355,0.0070290193,0.0030983351
443,0.0101203155,0.007026136,0.0030941798
444,0.0101133445,0.0070232605,0.0030900838
445,0.010106442,0.0070203952,0.003086046
446,0.0100996075,0.007017541,0.0030820665
447,0.010092851,0.0070147044,0.0030781468
448,0.010086155,0.007011876,0.0030742781
449,0.010079518,0.0070090573,0.0030704609
450,0.010072938,0.007006247,0.0030666909
451,0.010066421,0.0070034503,0.003062971
452,0.010059972,0.0070006703,0.0030593027
453,0.010053583,0.0069979043,0.0030556805
454,0.010047242,0.006995144,0.0030520977
455,0.010040949,0.0069923936,0.0030485562
