,loss,res_loss,bound_loss
109,"tf.Tensor(0.00032701308, shape=(), dtype=float32)","tf.Tensor(1.7200266e-07, shape=(), dtype=float32)","tf.Tensor(2.873659e-05, shape=(), dtype=float32)"
110,"tf.Tensor(0.00032714527, shape=(), dtype=float32)","tf.Tensor(1.4518363e-07, shape=(), dtype=float32)","tf.Tensor(2.9021438e-05, shape=(), dtype=float32)"
111,"tf.Tensor(0.00032684547, shape=(), dtype=float32)","tf.Tensor(1.5795028e-07, shape=(), dtype=float32)","tf.Tensor(2.8701994e-05, shape=(), dtype=float32)"
112,"tf.Tensor(0.00032658197, shape=(), dtype=float32)","tf.Tensor(1.4965057e-07, shape=(), dtype=float32)","tf.Tensor(2.8594395e-05, shape=(), dtype=float32)"
113,"tf.Tensor(0.00032607157, shape=(), dtype=float32)","tf.Tensor(1.356193e-07, shape=(), dtype=float32)","tf.Tensor(2.8450682e-05, shape=(), dtype=float32)"
114,"tf.Tensor(0.00033612348, shape=(), dtype=float32)","tf.Tensor(5.2416004e-07, shape=(), dtype=float32)","tf.Tensor(3.444832e-05, shape=(), dtype=float32)"
115,"tf.Tensor(0.0003260682, shape=(), dtype=float32)","tf.Tensor(1.3595691e-07, shape=(), dtype=float32)","tf.Tensor(2.846421e-05, shape=(), dtype=float32)"
116,"tf.Tensor(0.00032601823, shape=(), dtype=float32)","tf.Tensor(1.4068422e-07, shape=(), dtype=float32)","tf.Tensor(2.8516833e-05, shape=(), dtype=float32)"
117,"tf.Tensor(0.0003258721, shape=(), dtype=float32)","tf.Tensor(1.3780328e-07, shape=(), dtype=float32)","tf.Tensor(2.83826e-05, shape=(), dtype=float32)"
118,"tf.Tensor(0.00032572195, shape=(), dtype=float32)","tf.Tensor(1.3780306e-07, shape=(), dtype=float32)","tf.Tensor(2.8300452e-05, shape=(), dtype=float32)"
119,"tf.Tensor(0.00032534555, shape=(), dtype=float32)","tf.Tensor(1.3783814e-07, shape=(), dtype=float32)","tf.Tensor(2.8124245e-05, shape=(), dtype=float32)"
120,"tf.Tensor(0.00032850733, shape=(), dtype=float32)","tf.Tensor(1.3920486e-07, shape=(), dtype=float32)","tf.Tensor(3.0728945e-05, shape=(), dtype=float32)"
121,"tf.Tensor(0.0003252829, shape=(), dtype=float32)","tf.Tensor(1.3789756e-07, shape=(), dtype=float32)","tf.Tensor(2.8133689e-05, shape=(), dtype=float32)"
122,"tf.Tensor(0.00032491263, shape=(), dtype=float32)","tf.Tensor(1.3659114e-07, shape=(), dtype=float32)","tf.Tensor(2.7941916e-05, shape=(), dtype=float32)"
123,"tf.Tensor(0.00033029958, shape=(), dtype=float32)","tf.Tensor(2.2675127e-07, shape=(), dtype=float32)","tf.Tensor(3.250457e-05, shape=(), dtype=float32)"
124,"tf.Tensor(0.00032491362, shape=(), dtype=float32)","tf.Tensor(1.3670302e-07, shape=(), dtype=float32)","tf.Tensor(2.7945645e-05, shape=(), dtype=float32)"
125,"tf.Tensor(0.00032457488, shape=(), dtype=float32)","tf.Tensor(1.434896e-07, shape=(), dtype=float32)","tf.Tensor(2.7746548e-05, shape=(), dtype=float32)"
126,"tf.Tensor(0.00032558298, shape=(), dtype=float32)","tf.Tensor(2.4376874e-07, shape=(), dtype=float32)","tf.Tensor(2.8074093e-05, shape=(), dtype=float32)"
127,"tf.Tensor(0.0003244643, shape=(), dtype=float32)","tf.Tensor(1.5655706e-07, shape=(), dtype=float32)","tf.Tensor(2.7661052e-05, shape=(), dtype=float32)"
128,"tf.Tensor(0.00032423626, shape=(), dtype=float32)","tf.Tensor(1.60614e-07, shape=(), dtype=float32)","tf.Tensor(2.7578239e-05, shape=(), dtype=float32)"
